Feature Profile,Round Index,Random Seed,Accuracy (%),Dice Score,Precision,Recall,F1 Score,Cohen's Kappa
coh_vh_diff,1,42,88.91,0.8141,0.8262,0.8023,0.8141,0.7351
coh_vv_diff,1,42,92.32,0.8735,0.8699,0.8772,0.8735,0.8184
coh_vh_nonflood,1,42,32.63,0.4555,0.3014,0.9314,0.4555,-0.0029
coh_vh_flood,1,42,77.18,0.5599,0.6719,0.4799,0.5599,0.4116
coh_vv_nonflood,1,42,69.89,0.5214,0.5022,0.5422,0.5214,0.3023
coh_vv_flood,1,42,79.95,0.6871,0.6508,0.7278,0.6871,0.5403
amp_vh_reference,1,42,66.08,0.5404,0.4579,0.6593,0.5404,0.2853
amp_vh_secondary,1,42,79.65,0.5678,0.7942,0.4419,0.5678,0.4486
amp_vv_reference,1,42,32.85,0.4546,0.3013,0.9251,0.4546,-0.0032
amp_vv_secondary,1,42,82.51,0.6459,0.8329,0.5275,0.6459,0.5374
dem,1,42,82.12,0.596,0.9416,0.436,0.596,0.5004
land_use,1,42,77.94,0.5992,0.665,0.5453,0.5992,0.4491
buildings,1,42,69.95,0.4704,0.5038,0.4412,0.4704,0.262
inlets,1,42,35.42,0.3729,0.264,0.6347,0.3729,-0.0949
outlets,1,42,53.04,0.469,0.3564,0.6857,0.469,0.1179
open_drains,1,42,87.2,0.7903,0.7836,0.797,0.7903,0.6982
gravity_mains,1,42,71.63,0.5408,0.5297,0.5525,0.5408,0.3357
roads,1,42,77.24,0.6229,0.6244,0.6214,0.6229,0.4599
slope,1,42,87.4,0.7905,0.795,0.7861,0.7905,0.7004
streamflow_direction,1,42,87.55,0.7669,0.8838,0.6773,0.7669,0.6839
