Feature Profile,Round Index,Epoch,Loss,Accuracy (%),F1 Score
all_features_included,1,133,0.028286,87.54,0.8501
all_features_included,1,134,0.028474,86.92,0.8404
all_features_included,1,135,0.027899,86.99,0.8422
all_features_included,1,136,0.027569,86.83,0.8397
all_features_included,1,137,0.026271,87.51,0.8505
all_features_included,1,138,0.025803,87.35,0.8478
all_features_included,1,139,0.026037,87.44,0.8491
all_features_included,1,140,0.026499,87.17,0.8457
all_features_included,1,141,0.027383,87.98,0.8568
all_features_included,1,142,0.026923,87.19,0.8457
all_features_included,1,143,0.026116,87.83,0.8556
all_features_included,1,144,0.025127,87.12,0.8447
all_features_included,1,145,0.024685,86.73,0.838
all_features_included,1,146,0.024883,87.03,0.843
all_features_included,1,147,0.024168,87.37,0.8473
all_features_included,1,148,0.023368,86.41,0.8323
all_features_included,1,149,0.023077,86.66,0.8358
all_features_included,1,150,0.022926,87.22,0.8448
